        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , 8-Pin #2 Power [W] , 8-Pin #2 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-08-06 18:55:53 ,        1695.5   ,           1377.0   ,               53.4   ,        67.4   ,               0   ,                   0   ,           1035   ,         95   ,                       92   ,                   0   ,                    0   ,              230.7   ,                 164.0   ,              35.0   ,                11.9   ,             98.4   ,               11.9   ,             96.7   ,               11.9   ,                        83.9   ,              16   ,        0.8930   ,               43.0   ,                  8413   ,
2026-08-06 18:55:54 ,        1708.5   ,           1377.0   ,               53.8   ,        67.7   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              264.2   ,                  77.7   ,              26.7   ,                11.9   ,             46.6   ,               11.9   ,             56.4   ,               11.9   ,                        47.4   ,              16   ,        0.8810   ,               39.0   ,                  8411   ,
2026-08-06 18:55:55 ,        1695.5   ,           1377.0   ,               54.1   ,        68.1   ,               0   ,                   0   ,           1035   ,         95   ,                       91   ,                   0   ,                    0   ,              156.8   ,                 100.3   ,              28.9   ,                11.9   ,             60.2   ,               11.9   ,             67.1   ,               11.9   ,                        57.0   ,               1   ,        0.8750   ,               46.0   ,                  8412   ,
2026-08-06 18:55:56 ,        1708.5   ,           1377.0   ,               53.8   ,        67.8   ,               0   ,                   0   ,           1035   ,         92   ,                       89   ,                   0   ,                    0   ,              186.5   ,                 123.7   ,              31.0   ,                11.9   ,             74.2   ,               11.9   ,             80.6   ,               11.9   ,                        67.8   ,              16   ,        0.8810   ,               37.0   ,                  8412   ,
2026-08-06 18:55:57 ,        1708.5   ,           1377.0   ,               54.5   ,        68.5   ,               0   ,                   0   ,           1035   ,         95   ,                       93   ,                   0   ,                    0   ,              149.3   ,                  94.1   ,              28.3   ,                11.9   ,             56.4   ,               11.9   ,             63.9   ,               11.9   ,                        54.3   ,               1   ,        0.8810   ,               46.0   ,                  8410   ,
2026-08-06 18:55:58 ,        1708.5   ,           1377.0   ,               54.8   ,        68.8   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              203.5   ,                 142.3   ,              33.1   ,                11.9   ,             85.4   ,               11.9   ,             84.3   ,               11.9   ,                        74.0   ,               1   ,        0.8810   ,               46.0   ,                  8411   ,
2026-08-06 18:55:59 ,        1708.5   ,           1377.0   ,               54.6   ,        68.6   ,               0   ,                   0   ,           1035   ,         95   ,                       93   ,                   0   ,                    0   ,              113.9   ,                  62.8   ,              25.6   ,                11.9   ,             37.7   ,               12.0   ,             50.0   ,               11.9   ,                        41.4   ,               1   ,        0.8810   ,               46.0   ,                  8411   ,
2026-08-06 18:56:00 ,        1708.5   ,           1377.0   ,               55.3   ,        69.3   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              219.5   ,                  58.8   ,              26.4   ,                11.9   ,             35.3   ,               12.0   ,             48.0   ,               11.9   ,                        40.1   ,              16   ,        0.8810   ,               44.0   ,                  8410   ,
2026-08-06 18:56:01 ,        1721.0   ,           1377.0   ,               55.6   ,        69.6   ,               0   ,                   0   ,           1035   ,         95   ,                       92   ,                   0   ,                    0   ,              135.1   ,                  82.2   ,              27.0   ,                11.9   ,             49.3   ,               11.9   ,             58.2   ,               11.9   ,                        49.1   ,              16   ,        0.8930   ,               42.0   ,                  8409   ,
2026-08-06 18:56:02 ,        1708.5   ,           1377.0   ,               56.1   ,        70.1   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              109.2   ,                  59.0   ,              24.9   ,                11.9   ,             35.4   ,               12.0   ,             48.3   ,               11.9   ,                        39.7   ,               1   ,        0.8810   ,               47.0   ,                  8407   ,
